PC,Loading,gene_id,gene_name,protein,spid,protein_names,evalue
PC1,0.070,GWK47_034327,Ank1,Ankyrin-1,Q9P2R3,Rabankyrin-5 (Rank-5) (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif),7.70E-12
PC1,0.069,GWK47_037457,Slc18b1_0,MFS-type transporter SLC18B1,D4A9K4,MFS-type transporter SLC18B1 (Solute carrier family 18 member B1) (Vesicular polyamine transporter) (VPAT),4.01E-79
PC1,0.069,GWK47_037092,,hypothetical protein,,,
PC1,0.065,GWK47_037093,,hypothetical protein,,,
PC1,0.064,GWK47_045598,,hypothetical protein,,,
PC1,0.063,GWK47_053713,MFSD12_1,Major facilitator superfamily domain-containing protein 12,A0A3Q2HW92,Major facilitator superfamily domain-containing protein 12,8.85E-74
PC1,0.062,GWK47_032544,SLC15A1,Solute carrier family 15 member 1,B0S6T2,Solute carrier family 15 member 2 (Peptide transporter 2) (PEPT2),4.00E-166
PC1,0.061,GWK47_048345,PNLIPRP2_1,Pancreatic lipase-related protein 2,P81139,Pancreatic lipase-related protein 2 (PL-RP2) (Cytotoxic T lymphocyte lipase) (GPL) (Galactolipase) (EC 3.1.1.26) (Triacylglycerol lipase) (EC 3.1.1.3),1.10E-65
PC1,0.059,GWK47_022355,Pnliprp1_0,Inactive pancreatic lipase-related protein 1,Q5BKQ4,Inactive pancreatic lipase-related protein 1 (PL-RP1),1.14E-42
PC1,0.059,GWK47_022009,Leng9,Leukocyte receptor cluster member 9,Q8BTN6,Leukocyte receptor cluster member 9,4.30E-33
PC1,0.057,GWK47_014687,Bbox1_2,Gamma-butyrobetaine dioxygenase,Q9QZU7,"Gamma-butyrobetaine dioxygenase (EC 1.14.11.1) (Gamma-butyrobetaine hydroxylase) (Gamma-BBH) (Gamma-butyrobetaine,2-oxoglutarate dioxygenase)",7.82E-66
PC1,0.057,GWK47_039428,,hypothetical protein,,,
PC1,0.055,GWK47_051099,CPB1,Carboxypeptidase B,P00732,Carboxypeptidase B (EC 3.4.17.2),4.61E-21
PC1,0.053,GWK47_005561,,hypothetical protein,,,
PC1,0.052,GWK47_005560,,hypothetical protein,,,
PC1,0.051,GWK47_015179,,hypothetical protein,,,
PC1,0.051,GWK47_022413,,hypothetical protein,,,
PC1,0.050,GWK47_023919,IRF8,Interferon regulatory factor 8,,,
PC1,0.050,GWK47_036704,PCK2,Phosphoenolpyruvate carboxykinase [GTP,Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32) (Phosphoenolpyruvate carboxykinase 2, mitochondrial) (mtPCK2)",0
PC1,0.049,GWK47_006188,Mknk1,MAP kinase-interacting serine/threonine-protein kinase 1,Q66I46,MAP kinase-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2),6.35E-162
PC1,0.047,GWK47_019251,MUCB1,Integumentary mucin B.1,,,
PC1,0.047,GWK47_046142,Diap2_3,Death-associated inhibitor of apoptosis 2,A9JTP3,Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (E3 ubiquitin-protein ligase EIAP) (Embryonic/Egg IAP) (EIAP/XLX) (RING-type E3 ubiquitin transferase BIRC7),9.42E-43
PC1,0.046,GWK47_031369,pim3_1,Serine/threonine-protein kinase pim-3,Q91822,Serine/threonine-protein kinase pim-3 (EC 2.7.11.1) (Pim-1),8.82E-103
PC1,0.046,GWK47_024287,,hypothetical protein,,,
PC1,0.045,GWK47_022732,CREBL2,cAMP-responsive element-binding protein-like 2,Q0VD32,cAMP-responsive element-binding protein-like 2,5.05E-27
PC1,0.044,GWK47_002621,,hypothetical protein,,,
PC1,0.044,GWK47_006061,LRP1_1,Prolow-density lipoprotein receptor-related protein 1,,,
PC1,0.043,GWK47_005062,,hypothetical protein,,,
PC1,0.043,GWK47_036705,Pepck,Phosphoenolpyruvate carboxykinase [GTP,Q16822,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32) (Phosphoenolpyruvate carboxykinase 2, mitochondrial) (mtPCK2)",0
PC1,0.043,GWK47_009678,Ets21C,DNA-binding protein D-ETS-6,P29776,DNA-binding protein D-ETS-6,1.33E-60
PC1,0.042,GWK47_044097,,Protein ALP1-like,Q9M2U3,Protein ALP1-like (EC 3.1.-.-),2.24E-17
PC1,0.041,GWK47_030649,,hypothetical protein,,,
PC1,0.041,GWK47_039310,STEAP4,Metalloreductase STEAP4,Q687X5,"Metalloreductase STEAP4 (EC 1.16.1.-) (Six-transmembrane epithelial antigen of prostate 4) (SixTransMembrane protein of prostate 2) (Tumor necrosis factor, alpha-induced protein 9)",1.33E-57
PC1,0.040,GWK47_035761,YPEL2,Protein yippee-like 2,Q2YDI3,Protein yippee-like 2,1.25E-78
PC1,0.040,GWK47_030652,CBR1_1,Carbonyl reductase [NADPH,P47727,"Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189)",2.62E-22
PC1,0.039,GWK47_039627,,hypothetical protein,,,
PC1,0.039,GWK47_032198,RpL23_43,60S ribosomal protein L23,P48159,Large ribosomal subunit protein uL14 (60S ribosomal protein L23) (L17A),1.79E-16
PC1,0.039,GWK47_012582,v,"Tryptophan 2,3-dioxygenase",B4MSH7,"Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Protein vermilion) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)",2.95E-155
PC1,0.038,GWK47_003883,Mfsd8_1,Major facilitator superfamily domain-containing protein 8,Q8BH31,Major facilitator superfamily domain-containing protein 8,6.08E-69
PC1,0.038,GWK47_047355,,hypothetical protein,,,
PC1,0.038,GWK47_008564,,hypothetical protein,,,
PC1,0.037,GWK47_015327,,hypothetical protein,,,
PC1,0.037,GWK47_021769,Rim2,Mitochondrial carrier protein Rim2,Q9VQ37,Mitochondrial carrier protein Rim2,4.89E-78
PC1,0.036,GWK47_013067,,hypothetical protein,,,
PC1,0.036,GWK47_049593,Pnlip_1,Pancreatic triacylglycerol lipase,Q6P8U6,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),1.84E-85
PC1,0.036,GWK47_018480,,hypothetical protein,,,
PC1,0.036,GWK47_046958,PRSS55,Serine protease 55,Q28661,Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide],3.76E-23
PC1,0.036,GWK47_050071,,hypothetical protein,,,
PC1,0.035,GWK47_049589,CBR1_3,Carbonyl reductase [NADPH,P47727,"Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189)",1.51E-24
PC1,0.035,GWK47_038632,SLC10A2_1,Ileal sodium/bile acid cotransporter,Q12908,"Ileal sodium/bile acid cotransporter (Apical sodium-dependent bile acid transporter) (ASBT) (Ileal Na(+)/bile acid cotransporter) (Ileal sodium-dependent bile acid transporter) (IBAT) (ISBT) (Na(+)-dependent ileal bile acid transporter) (Sodium/taurocholate cotransporting polypeptide, ileal) (Solute carrier family 10 member 2)",4.46E-54
