Treatment,gene_id,gene_name,protein,spid,gene_ontology_biological_process
Moderate OA (pH 7.8),GWK47_029125,,hypothetical protein,,
Moderate OA (pH 7.8),GWK47_029136,foxi2-a,Forkhead box protein I2-A,Q63245,anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]; cellular response to leukemia inhibitory factor [GO:1990830]; embryonic placenta development [GO:0001892]; in utero embryonic development [GO:0001701]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; trophectodermal cell differentiation [GO:0001829]
Moderate OA (pH 7.8),GWK47_029699,MED27,Mediator of RNA polymerase II transcription subunit 27,Q171Y8,regulation of transcription by RNA polymerase II [GO:0006357]
Moderate OA (pH 7.8),GWK47_030833,Cpsf100,putative cleavage and polyadenylation specificity factor subunit 2,Q9V3D6,"co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway [GO:0180010]; mRNA 3'-end processing by stem-loop binding and cleavage [GO:0006398]"
Moderate OA (pH 7.8),GWK47_037349,EIF5A,Eukaryotic translation initiation factor 5A-1,P62924,positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]
Moderate OA (pH 7.8),GWK47_005989,RDH11_2,Retinol dehydrogenase 11,Q17QW3,retinol metabolic process [GO:0042572]
Moderate OA (pH 7.8),GWK47_044723,Xpnpep1_2,Xaa-Pro aminopeptidase 1,Q9NQW7,bradykinin catabolic process [GO:0010815]; negative regulation of programmed cell death [GO:0043069]; proteolysis [GO:0006508]
Moderate OA (pH 7.8),GWK47_049413,Rbp1_1,RNA-binding protein 1,Q02427,"mRNA cis splicing, via spliceosome [GO:0045292]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of gene expression [GO:0010468]; regulation of mRNA 3'-end processing [GO:0031440]; regulation of transcriptional start site selection at RNA polymerase II promoter [GO:0001178]; RNA splicing [GO:0008380]"
Moderate OA (pH 7.8),GWK47_000795,,hypothetical protein,,
Moderate OA (pH 7.8),GWK47_052911,,hypothetical protein,,
Moderate OA (pH 7.8),GWK47_009795,TfIIS,Transcription elongation factor S-II,P20232,regulation of transcription by RNA polymerase II [GO:0006357]; transcription elongation by RNA polymerase II [GO:0006368]
Moderate OA (pH 7.8),GWK47_001080,U2af50,Splicing factor U2AF subunit,Q24562,"mRNA splicing, via spliceosome [GO:0000398]; nuclear export [GO:0051168]; positive regulation of RNA export from nucleus [GO:0046833]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]"
Moderate OA (pH 7.8),GWK47_010201,MOIH_3,Mandibular organ-inhibiting hormone,P56688,circadian rhythm [GO:0007623]; neuropeptide signaling pathway [GO:0007218]
Moderate OA (pH 7.8),GWK47_010369,NUP43,Nucleoporin Nup43,P59235,cell division [GO:0051301]; chromosome segregation [GO:0007059]; mRNA transport [GO:0051028]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]
Moderate OA (pH 7.8),GWK47_000123,lap-2,putative aminopeptidase W07G4.4,Q27245,proteolysis [GO:0006508]
Moderate OA (pH 7.8),GWK47_018958,Cad87A,Cadherin-87A,Q9VGG5,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion mediated by cadherin [GO:0044331]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Moderate OA (pH 7.8),GWK47_021623,,Alpha-tubulin N-acetyltransferase,Q16Y34,neuron development [GO:0048666]; regulation of microtubule cytoskeleton organization [GO:0070507]
Moderate OA (pH 7.8),GWK47_022521,,Protein numb,P16554,asymmetric neuroblast division [GO:0055059]; centrosome localization [GO:0051642]; embryonic heart tube development [GO:0035050]; enteroendocrine cell differentiation [GO:0035883]; glial cell migration [GO:0008347]; Malpighian tubule tip cell differentiation [GO:0061382]; muscle cell fate specification [GO:0042694]; negative regulation of gene expression [GO:0010629]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of receptor recycling [GO:0001920]; neuroblast development [GO:0014019]; neuroblast proliferation [GO:0007405]; pericardial nephrocyte differentiation [GO:0061320]; positive regulation of endocytosis [GO:0045807]; protein localization [GO:0008104]; regulation of asymmetric cell division [GO:0009786]; regulation of nervous system development [GO:0051960]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; sensory organ precursor cell division [GO:0045035]; sensory organ precursor cell fate determination [GO:0016360]
Severe OA (pH 7.5),GWK47_028505,TTN_0,Titin,Q8WZ42,cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; mitotic chromosome condensation [GO:0007076]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle contraction [GO:0003009]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; striated muscle contraction [GO:0006941]
Severe OA (pH 7.5),GWK47_028982,atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1,Q66JD1,mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]
Severe OA (pH 7.5),GWK47_029334,THA1_0,putative low-specificity L-threonine aldolase 1,Q9FPH3,threonine catabolic process [GO:0006567]
Severe OA (pH 7.5),GWK47_029379,HSCB_0,"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial",,
Severe OA (pH 7.5),GWK47_030664,Usp21_1,Ubiquitin carboxyl-terminal hydrolase 21,Q2KJ72,protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]; transcription initiation-coupled chromatin remodeling [GO:0045815]
Severe OA (pH 7.5),GWK47_031479,AQR,RNA helicase aquarius,O60306,"mRNA splicing, via spliceosome [GO:0000398]"
Severe OA (pH 7.5),GWK47_003643,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_032311,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_032313,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_034418,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_034692,dscc1,Sister chromatid cohesion protein DCC1,Q66I84,DNA replication [GO:0006260]; maintenance of mitotic sister chromatid cohesion [GO:0034088]; regulation of DNA replication [GO:0006275]
Severe OA (pH 7.5),GWK47_034834,Gstt4,Glutathione S-transferase theta-4,Q9D4P7,
Severe OA (pH 7.5),GWK47_035042,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_037038,Actr3,Actin-related protein 3,Q99JY9,Arp2/3 complex-mediated actin nucleation [GO:0034314]; astrocyte differentiation [GO:0048708]; asymmetric cell division [GO:0008356]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to interleukin-1 [GO:0071347]; cellular response to pyrimidine ribonucleotide [GO:1905835]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to trichostatin A [GO:0035984]; cellular response to triterpenoid [GO:1905837]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to type II interferon [GO:0071346]; cilium assembly [GO:0060271]; establishment or maintenance of cell polarity [GO:0007163]; meiotic cell cycle [GO:0051321]; meiotic chromosome movement towards spindle pole [GO:0016344]; meiotic cytokinesis [GO:0033206]; negative regulation of axon extension [GO:0030517]; negative regulation of bleb assembly [GO:1904171]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of synapse assembly [GO:0051965]; positive regulation of transcription by RNA polymerase II [GO:0045944]; postsynaptic actin cytoskeleton organization [GO:0098974]; regulation of myosin II filament organization [GO:0043519]; response to estradiol [GO:0032355]; response to heparin [GO:0071503]; Sertoli cell barrier remodeling [GO:0061843]; spermatogenesis [GO:0007283]; spindle localization [GO:0051653]
Severe OA (pH 7.5),GWK47_037491,A1CF,APOBEC1 complementation factor,Q4R2Z0,"cell cycle switching, mitotic to meiotic cell cycle [GO:0051728]; female meiotic nuclear division [GO:0007143]; male meiotic nuclear division [GO:0007140]; oogenesis [GO:0048477]; spermatid differentiation [GO:0048515]; spermatogenesis [GO:0007283]"
Severe OA (pH 7.5),GWK47_039827,Rnaseh2a,Ribonuclease H2 subunit A,Q9CWY8,mismatch repair [GO:0006298]; RNA catabolic process [GO:0006401]
Severe OA (pH 7.5),GWK47_040050,FLT4,Vascular endothelial growth factor receptor 3,Q5MD89,angiogenesis [GO:0001525]; atrioventricular canal development [GO:0036302]; cardiac muscle tissue regeneration [GO:0061026]; cell migration [GO:0016477]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]; lymphangiogenesis [GO:0001946]; lymphatic endothelial cell differentiation [GO:0060836]; motor neuron axon guidance [GO:0008045]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of MAPK cascade [GO:0043410]; protein autophosphorylation [GO:0046777]; regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030947]; regulation of vascular endothelial growth factor signaling pathway [GO:1900746]; selective angioblast sprouting [GO:0035474]; sprouting angiogenesis [GO:0002040]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vascular endothelial growth factor signaling pathway [GO:0038084]; vasculature development [GO:0001944]; venous blood vessel development [GO:0060841]; venous endothelial cell migration involved in lymph vessel development [GO:0060855]
Severe OA (pH 7.5),GWK47_041009,Mafg,Transcription factor MafG,Q90596,regulation of transcription by RNA polymerase II [GO:0006357]
Severe OA (pH 7.5),GWK47_041023,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_041565,NOS,"Nitric oxide synthase, salivary gland",Q26240,nitric oxide biosynthetic process [GO:0006809]
Severe OA (pH 7.5),GWK47_005334,cdk1,Cyclin-dependent kinase 1,P51958,cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]
Severe OA (pH 7.5),GWK47_005425,FHL2,Four and a half LIM domains protein 2,O35115,atrial cardiac muscle cell development [GO:0055014]; heart trabecula formation [GO:0060347]; negative regulation of apoptotic process [GO:0043066]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osteoblast differentiation [GO:0001649]; regulation of transcription by RNA polymerase II [GO:0006357]; response to hormone [GO:0009725]; ventricular cardiac muscle cell development [GO:0055015]
Severe OA (pH 7.5),GWK47_042488,FBXL7,F-box/LRR-repeat protein 7,,
Severe OA (pH 7.5),GWK47_043054,SelD,"Selenide, water dikinase",O18373,negative regulation of reactive oxygen species metabolic process [GO:2000378]
Severe OA (pH 7.5),GWK47_043577,,hypothetical protein,,
Severe OA (pH 7.5),GWK47_043793,,hypothetical protein,,
